# Days,SPA168 (Left side of Basin1)
3296,27.45000076
3297,27.55999947
3298,27.81999969
3299,27.95000076
3300,28.11000061
3301,28.25
3302,28.45999908
3303,28.62999916
3304,28.76000023
3305,28.85000038
3306,28.92000008
3307,28.96999931
3308,29.02000046
3309,29.05999947
3310,29.10000038
3311,28.96999931
3312,28.80999947
3313,28.68000031
3314,28.60000038
3315,28.53999901
3316,28.42000008
3317,28.30999947
3318,28.25
3319,28.37999916
3320,28.55999947
3321,28.72999954
3322,28.80999947
3323,28.86000061
3324,28.87000084
3325,28.94000053
3326,28.96999931
3327,29
3328,29.02000046
3329,29.04999924
3330,29.03000069
3331,29.04999924
3332,29.03999901
3333,29.15999985
3334,29.21999931
3335,29.26000023
3336,29.27000046
3337,29.28000069
3338,29.30999947
3339,29.30999947
3340,29.29999924
3341,29.29999924
3342,29.31999969
3343,29.35000038
3344,29.36000061
3345,29.35000038
3346,29.37999916
3347,29.40999985
3348,29.42000008
3349,29.38999939
3350,29.43000031
3351,29.44000053
3352,29.47999954
3353,29.45999908
3354,29.45000076
3355,29.45999908
3356,29.46999931
3357,29.42000008
3358,29.37999916
3359,29.35000038
3360,29.31999969
3361,29.29999924
3362,29.28999901
3363,29.28000069
3364,29.27000046
3365,29.27000046
3366,29.25
3367,29.26000023
3368,29.27000046
3369,29.26000023
3370,29.28000069
3371,29.28999901
3372,29.29999924
3373,29.27000046
3374,29.28000069
3375,29.28999901
3376,29.29999924
3377,29.28999901
3378,29.27000046
3379,29.25
3380,29.25
3381,29.26000023
3382,29.25
3383,29.22999954
3384,29.23999977
3385,29.20999908
3386,29.20000076
3387,29.20000076
3388,29.20000076
3389,29.14999962
3390,29.13999939
3391,29.13999939
3392,29.12999916
3393,29.09000015
3394,29.04999924
3395,28.85000038
3396,28.88999939
3397,28.78999901
3398,28.71999931
3399,28.67000008
3400,28.57999992
3401,28.44000053
3402,28.17000008
3403,27.73999977
3404,27.46999931
3405,27.48999977
3406,27.35000038
3407,27.26000023
3408,27.34000015
3409,27.5
3410,27.45999908
3411,27.57999992
3412,27.78000069
3413,27.95000076
3414,28.09000015
3415,28.20999908
3416,28.12999916
3417,27.72999954
3418,27.38999939
3419,27.23999977
3420,26.98999977
3421,26.87999916
3422,26.75
3423,26.68000031
3424,26.61000061
3425,26.52000046
3426,26.46999931
3427,26.43000031
3428,26.40999985
3429,26.37000084
3430,26.32999992
3431,26.31999969
3432,26.28000069
3433,26.23999977
3434,26.26000023
3435,26.28999901
3436,26.32999992
3437,26.37999916
3438,26.37000084
3439,26.32999992
3440,26.28999901
3441,26.26000023
3442,26.25
3443,26.22999954
3444,26.30999947
3445,26.32999992
3446,26.31999969
3447,26.31999969
3448,26.28999901
3449,26.27000046
3450,26.28999901
3451,26.26000023
3452,26.25
3453,26.28000069
3454,26.25
3455,26.25
3456,26.23999977
3457,26.25
3458,26.26000023
3459,26.26000023
3460,26.26000023
3461,26.25
3462,26.26000023
3463,26.23999977
3464,26.23999977
3465,26.23999977
3466,26.25
3467,26.23999977
3468,26.20999908
3469,26.18000031
3470,26.13999939
3471,26.13999939
3472,26.21999931
3473,26.28999901
3474,26.28000069
3475,26.39999962
3476,26.27000046
3477,26.26000023
3478,26.23999977
3479,26.25
3480,26.23999977
3481,26.22999954
3482,26.21999931
3483,26.22999954
3484,26.21999931
3485,26.21999931
3486,26.22999954
3487,26.26000023
3488,26.27000046
3489,26.25
3490,26.35000038
3491,26.37999916
3492,26.40999985
3493,26.43000031
3494,26.45999908
3495,26.45000076
3496,26.42000008
3497,26.40999985
3498,26.43000031
3499,26.40999985
3500,26.39999962
3501,26.40999985
3502,26.45000076
3503,26.45000076
3504,26.44000053
3505,26.45000076
3506,26.45999908
3507,26.45999908
3508,26.45999908
3509,26.44000053
3510,26.44000053
3511,26.40999985
3512,26.44000053
3513,26.44000053
3514,26.44000053
3515,26.46999931
3516,26.45000076
3517,26.46999931
3518,26.46999931
3519,26.47999954
3520,26.46999931
3521,26.45999908
