# Days,SPA168 (Left side of Basin1)
1849,26.87999916
1850,26.87000084
1851,26.87000084
1852,26.87000084
1853,26.86000061
1854,26.86000061
1855,26.85000038
1856,26.85000038
1857,26.89999962
1858,27.09000015
1859,27.36000061
1860,27.51000023
1861,27.64999962
1862,27.76000023
1863,27.81999969
1864,27.87000084
1865,27.80999947
1866,27.79999924
1867,27.77000046
1868,27.78999901
1869,27.78000069
1870,27.77000046
1871,27.78000069
1872,27.76000023
1873,27.78000069
1874,27.77000046
1875,27.76000023
1876,27.76000023
1877,27.93000031
1878,27.77000046
1879,27.62000084
1880,27.5
1881,27.36000061
1882,27.29999924
1883,27.22999954
1884,27.06999969
1885,26.93000031
1886,26.82999992
1887,26.77000046
1888,26.70000076
1889,26.65999985
1890,26.72999954
1891,26.81999969
1892,26.90999985
1893,26.98999977
1894,27.06999969
1895,27.17000008
1896,27.20999908
1897,27.22999954
1898,27.01000023
1899,26.73999977
1900,26.55999947
1901,26.48999977
1902,26.43000031
1903,26.38999939
1904,26.34000015
1905,26.35000038
1906,26.42000008
1907,26.56999969
1908,26.65999985
1909,26.69000053
1910,26.73999977
1911,26.87000084
1912,26.97999954
1913,27.13999939
1914,27.37999916
1915,27.37999916
1916,27.5
1917,27.75
1918,27.87999916
1919,27.92000008
1920,28.12999916
1921,28.36000061
1922,28.53999901
1923,28.69000053
1924,28.80999947
1925,28.90999985
1926,28.97999954
1927,29.06999969
1928,29.15999985
1929,29.03000069
1930,29.03999901
1931,29.06999969
1932,29.10000038
1933,29.06999969
1934,29.02000046
1935,29.03999901
1936,29.03000069
1937,29.03000069
1938,29.04999924
1939,29.05999947
1940,29.06999969
1941,29.07999992
1942,29.07999992
1943,29.07999992
1944,29.07999992
1945,29.09000015
1946,29.10000038
1947,29.32999992
1948,29.14999962
1949,29.13999939
1950,29.13999939
1951,29.15999985
1952,29.17000008
1953,29.17000008
1954,29.20000076
1955,29.17000008
1956,29.10000038
1957,29.03999901
1958,28.98999977
1959,28.93000031
1960,28.88999939
1961,28.97999954
1962,29
1963,28.97999954
1964,28.96999931
1965,28.95999908
1966,28.98999977
1967,28.98999977
1968,28.95000076
1969,28.95000076
1970,28.93000031
1971,28.86000061
1972,28.78000069
1973,28.72999954
1974,28.63999939
1975,28.56999969
1976,28.52000046
1977,28.48999977
1978,28.44000053
1979,28.40999985
1980,28.36000061
1981,28.30999947
1982,28.28000069
1983,28.23999977
1984,28.20000076
1985,28.18000031
1986,28.13999939
1987,28.14999962
1988,28.12000084
1989,28.14999962
1990,28.10000038
1991,28.09000015
1992,28.06999969
1993,28.07999992
1994,28.04999924
1995,28.03000069
1996,28.03999901
1997,28.03000069
1998,28.01000023
1999,27.98999977
2000,27.97999954
2001,27.95999908
2002,27.77000046
2003,27.62999916
2004,27.59000015
2005,27.64999962
2006,27.63999939
2007,27.64999962
2008,27.59000015
2009,27.61000061
2010,27.57999992
2011,27.47999954
2012,27.5
2013,27.45999908
2014,27.43000031
2015,27.38999939
2016,27.32999992
2017,27.37999916
2018,27.32999992
2019,27.35000038
2020,27.31999969
2021,27.30999947
2022,27.28999901
2023,27.32999992
2024,27.28999901
2025,27.47999954
2026,27.26000023
2027,27.20999908
2028,27.13999939
2029,27.18000031
2030,27.07999992
2031,27.05999947
2032,27.03999901
2033,27.03000069
2034,27.03000069
2035,27.03000069
2036,27.03999901
2037,27.04999924
2038,27.05999947
2039,27.06999969
2040,27.06999969
2041,27.07999992
2042,27.09000015
2043,27.07999992
2044,27.07999992
2045,27.07999992
2046,27.10000038
2047,27.12999916
2048,27.12000084
2049,27.12999916
2050,27.13999939
2051,27.11000061
2052,27.12999916
2053,27.15999985
2054,27.18000031
2055,27.19000053
2056,27.20999908
2057,27.18000031
2058,27.09000015
2059,27.05999947
2060,27.04999924
2061,27.04999924
2062,27.03000069
2063,27.01000023
2064,27
2065,26.97999954
2066,27.20000076
2067,27.27000046
2068,27.29999924
2069,27.31999969
2070,27.35000038
2071,27.37999916
2072,27.40999985
2073,27.44000053
2074,27.45000076
2075,27.44000053
2076,27.38999939
2077,27.27000046
2078,27.15999985
2079,27.05999947
2080,26.96999931
2081,26.92000008
2082,26.77000046
2083,26.89999962
2084,26.94000053
2085,26.96999931
2086,27.02000046
2087,26.63999939
2088,26.46999931
2089,26.34000015
2090,26.23999977
2091,26.14999962
2092,26.06999969
2093,26.01000023
2094,25.95000076
2095,25.89999962
2096,25.82999992
2097,25.76000023
2098,25.69000053
2099,25.62999916
2100,25.57999992
2101,25.55999947
2102,25.54000092
2103,25.77000046
2104,25.55999947
2105,25.51000023
2106,25.46999931
2107,25.44000053
2108,25.42000008
2109,25.38999939
2110,25.36000061
2111,25.34000015
2112,25.31999969
2113,25.29999924
2114,25.28000069
2115,25.26000023
2116,25.23999977
2117,25.21999931
2118,25.21000099
2119,25.20000076
2120,25.19000053
2121,25.17000008
2122,25.14999962
2123,25.14999962
2124,25.14999962
2125,25.13999939
2126,25.12000084
2127,25.11000061
2128,25.17000008
2129,25.40999985
2130,25.31999969
2131,25.13000107
2132,25.07999992
2133,25.05999947
2134,25.04000092
2135,25.02000046
2136,25.01000023
2137,25
2138,24.98999977
2139,25.12000084
2140,25.19000053
2141,25.23999977
2142,25.27000046
2143,25.29999924
2144,25.32999992
2145,25.31999969
2146,25.29999924
2147,25.29000092
2148,25.28000069
2149,25.27000046
2150,25.44000053
2151,25.38999939
2152,25.35000038
2153,25.35000038
2154,25.36000061
2155,25.37000084
2156,25.38000107
2157,25.54000092
2158,25.60000038
2159,25.62000084
2160,25.77000046
2161,25.87000084
2162,25.93000031
2163,25.84000015
2164,25.86000061
2165,26.03999901
2166,25.98999977
2167,26
2168,26.02000046
2169,26.03999901
2170,26.03999901
2171,26.03000069
2172,26
2173,25.98999977
2174,25.97999954
2175,25.95999908
2176,25.95000076
2177,25.96999931
2178,25.96999931
2179,25.98999977
2180,26
2181,26.03000069
2182,26.06999969
2183,26.12000084
2184,26.31999969
2185,26.44000053
2186,26.27000046
2187,26.23999977
2188,26.21999931
2189,26.20000076
2190,26.18000031
2191,26.15999985
2192,26.23999977
2193,26.40999985
2194,26.76000023
2195,26.88999939
2196,26.85000038
2197,26.77000046
2198,26.93000031
2199,27.05999947
2200,27.09000015
2201,27.26000023
2202,27.29999924
2203,27.13999939
2204,27.03000069
2205,27.25
2206,27.20999908
2207,27.27000046
2208,27.34000015
2209,27.29999924
2210,27.15999985
2211,27.09000015
2212,27.11000061
2213,27.13999939
2214,27.04999924
2215,27.04999924
2216,27.10000038
2217,27.01000023
2218,27
2219,27.05999947
2220,26.94000053
2221,26.92000008
2222,26.93000031
2223,26.84000015
2224,26.85000038
2225,26.95000076
2226,26.81999969
2227,26.80999947
2228,26.77000046
2229,26.78000069
2230,26.79999924
2231,26.77000046
2232,26.78000069
2233,26.79999924
2234,26.77000046
2235,26.82999992
2236,26.87000084
2237,26.84000015
2238,26.80999947
2240,27.80999947
2241,27.80999947
2242,27.79000092
2243,27.98999977
2244,27.87000084
2245,27.94000053
2246,27.97999954
2247,28.05999947
2248,28.02000046
2249,27.95999908
2250,27.93000031
2251,28
2252,27.95999908
2253,27.94000053
2254,27.97999954
2255,27.95999908
2256,27.95999908
2257,27.97999954
2258,28.02000046
2259,27.94000053
2260,28.02000046
2261,27.98999977
2262,28.03000069
2263,28.06999969
2264,28.02000046
2265,28.05999947
2266,28.07999992
2267,28.10000038
2268,28.18000031
2269,28.20999908
2270,28.25
2271,28.30999947
2272,28.37999916
2273,28.29000092
2274,28.20000076
2275,28.12999916
2276,28.06999969
2277,28.02000046
2278,27.97999954
2279,27.95000076
2280,27.93000031
2281,27.90999985
2282,27.89999962
2283,27.90999985
2284,27.87999916
2285,27.87999916
2286,27.85000038
2287,27.82999992
2288,27.80999947
2289,27.77000046
2290,27.73999977
2291,27.70000076
2292,27.65999985
2293,27.62000084
2294,27.59000015
2295,27.55999947
2296,27.54000092
2297,27.53000069
2298,27.51000023
2299,27.5
2300,27.48999977
2301,27.47999954
2302,27.46999931
2303,27.46999931
2304,27.45999908
2305,27.45000076
2306,27.44000053
2307,27.44000053
2308,27.43000031
2309,27.60000038
2310,27.44000053
2311,27.45999908
2312,27.45999908
2313,27.46999931
2314,27.45999908
2315,27.45999908
2316,27.45000076
2317,27.45999908
2318,27.44000053
2319,27.40999985
2320,27.40999985
2321,27.40999985
2322,27.40999985
2323,27.42000008
2324,27.42000008
2325,27.39999962
2326,27.39999962
2327,27.38999939
2328,27.37999916
2329,27.37000084
2330,27.36000061
2331,27.35000038
2332,27.34000015
2333,27.34000015
2334,27.35000038
2335,27.34000015
2336,27.31999969
2337,27.31999969
2338,27.30999947
2339,27.29999924
2340,27.29999924
2341,27.30999947
2342,27.31999969
2343,27.28999901
2344,27.28999901
2345,27.29999924
2346,27.31999969
2347,27.34000015
2348,27.36000061
2349,27.37000084
2350,27.37999916
2351,27.39999962
2352,27.38999939
2353,27.37999916
2354,27.37000084
2355,27.36000061
2356,27.36000061
2357,27.35000038
2358,27.35000038
2359,27.34000015
2360,27.35000038
2361,27.34000015
2362,27.32999992
2363,27.31999969
2364,27.31999969
2365,27.30999947
2366,27.30999947
2367,27.30999947
2368,27.32999992
2369,27.34000015
2370,27.35000038
2371,27.36000061
2372,27.37000084
2373,27.37000084
2374,27.37000084
2375,27.37999916
2376,27.38999939
2377,27.38999939
2378,27.38999939
2379,27.39999962
2380,27.40999985
2381,27.40999985
2382,27.42000008
2383,27.43000031
2384,27.43000031
2385,27.44000053
2386,27.45000076
2387,27.45000076
2388,27.45999908
2389,27.45999908
2390,27.45999908
2391,27.45999908
2392,27.46999931
2393,27.46999931
2394,27.47999954
2395,27.47999954
2396,27.47999954
2397,27.5
2398,27.48999977
2399,27.51000023
2400,27.52000046
2401,27.52000046
2402,27.52000046
2403,27.52000046
2404,27.53000069
2405,27.52000046
2406,27.53000069
2407,27.53999901
2408,27.32999992
2409,27.27000046
2410,27.21999931
2411,27.19000053
2412,27.35000038
2413,27.38999939
2414,27.43000031
2415,27.43000031
2416,27.42000008
2417,27.31999969
2418,27.27000046
2419,27.25
2420,27.20999908
2421,27.19000053
2422,27.17000008
2423,27.15999985
2424,27.14999962
2425,27.13999939
2426,27.12999916
2427,27.01000023
2428,26.94000053
2429,26.88999939
2430,26.86000061
2431,26.85000038
2432,26.81999969
2433,26.80999947
2434,26.79999924
2435,26.78000069
2436,26.76000023
2437,26.75
2438,26.73999977
2439,26.72999954
2440,26.71999931
2441,26.70999908
2442,26.70999908
2443,26.70000076
2444,26.69000053
2445,26.69000053
2446,26.69000053
2447,26.69000053
2448,26.70000076
2449,26.70000076
2450,26.70000076
2451,26.70999908
2452,26.71999931
2453,26.71999931
2454,26.72999954
2455,26.70999908
2456,26.69000053
2457,26.68000031
2458,26.69000053
2459,26.69000053
2460,26.70000076
2461,26.70000076
2462,26.70999908
2463,26.70999908
2464,26.71999931
2465,26.71999931
2466,26.73999977
2467,26.72999954
2468,26.73999977
2469,26.75
2470,26.76000023
2471,26.76000023
2472,26.77000046
2473,26.76000023
2474,26.77000046
2475,26.78000069
2476,26.78999901
2477,26.78000069
2478,26.78000069
2479,26.78999901
2480,26.79999924
2481,26.80999947
2482,26.80999947
2483,26.81999969
2484,26.81999969
2485,26.82999992
2486,26.82999992
2487,26.81999969
2488,26.80999947
2489,26.80999947
2490,26.80999947
2491,26.80999947
2492,26.78999901
2493,26.76000023
2494,26.75
2495,26.71999931
2496,26.71999931
2497,26.70999908
2498,26.70000076
2499,26.68000031
2500,26.67000008
2501,26.65999985
2502,26.64999962
2503,26.64999962
2504,26.64999962
2505,26.64999962
2506,26.65999985
2507,26.62000084
2508,26.57999992
2509,26.54999924
2510,26.52000046
2511,26.51000023
2512,26.48999977
2513,26.48999977
2514,26.48999977
2515,26.48999977
2516,26.5
2517,26.52000046
2518,26.53999901
2519,26.55999947
2520,26.59000015
2521,26.62000084
2522,26.65999985
2523,26.67000008
2524,26.69000053
2525,26.70000076
2526,26.70999908
2527,26.71999931
2528,26.76000023
2529,26.78000069
2530,26.76000023
2531,26.73999977
2532,26.75
2533,26.77000046
2534,26.81999969
2535,26.87000084
2536,26.90999985
2537,26.94000053
2538,26.96999931
2539,27
2540,27.03000069
2541,27.35000038
2542,27.61000061
2543,27.76000023
2544,27.86000061
2545,27.94000053
2546,28.01000023
2547,28.04999924
2548,27.81999969
2549,27.57999992
2550,27.52000046
2551,27.63999939
2552,27.70000076
2553,27.78000069
2554,27.75
2555,27.81999969
2556,27.88999939
2557,27.63999939
2558,27.53999901
2559,27.47999954
2560,27.45000076
2561,27.44000053
2562,27.40999985
2563,27.37999916
2564,27.36000061
2565,27.35000038
2566,27.32999992
2567,27.31999969
2568,27.30999947
2569,27.26000023
2570,27.20000076
2571,27.13999939
2572,27.17000008
2573,27.07999992
2574,27.03000069
2575,26.98999977
2576,26.95999908
2577,26.92000008
2578,26.88999939
2579,26.87999916
2580,26.87000084
2581,26.87000084
2582,26.86000061
2583,26.85000038
2584,26.84000015
2585,26.81999969
2586,26.80999947
2587,26.78999901
2588,26.77000046
2589,26.76000023
2590,26.73999977
2591,26.72999954
2592,26.70999908
2593,26.70000076
2594,26.69000053
2595,26.68000031
2596,26.68000031
2597,26.75
2598,26.67000008
2599,26.64999962
2600,26.63999939
2601,26.62999916
2602,26.62000084
2603,26.61000061
2604,26.60000038
2605,26.59000015
2606,26.57999992
2607,26.57999992
2608,26.57999992
2609,26.59000015
2610,26.57999992
2611,26.59000015
2612,26.59000015
2613,26.56999969
2614,26.56999969
2615,26.67000008
2616,26.75
2617,26.78999901
2618,26.82999992
2619,26.88999939
2620,26.95000076
2621,27
2622,27.01000023
2623,27.01000023
2624,27.01000023
2625,27.01000023
2626,27
2627,27.02000046
2628,27.03000069
2629,27.03999901
2630,27.05999947
2631,27.05999947
2632,27.05999947
2633,26.89999962
2634,26.85000038
2635,26.80999947
2636,26.78000069
2637,26.97999954
2638,27.10000038
2639,27.12000084
2640,27.15999985
2641,27.19000053
2642,27.21999931
2643,27.34000015
2644,27.40999985
2645,27.47999954
2646,27.53000069
2647,27.55999947
2648,27.59000015
2649,27.62999916
2650,27.60000038
2651,27.53999901
2652,27.53000069
2653,27.36000061
2654,27.40999985
2655,27.40999985
2656,27.38999939
2657,27.39999962
2658,27.39999962
2659,27.38999939
2660,27.37000084
2661,27.40999985
2662,27.43000031
2663,27.48999977
2664,27.52000046
2665,27.54999924
2666,27.57999992
2667,27.59000015
2668,27.60000038
2669,27.55999947
2670,27.52000046
2671,27.5
2672,27.47999954
2673,27.46999931
2674,27.45999908
2675,27.55999947
2676,27.39999962
2677,27.37999916
2678,27.39999962
2679,27.38999939
2680,27.38999939
2681,27.37999916
2682,27.36000061
2683,27.22999954
2684,27.18000031
2685,27.13999939
2686,27.11000061
2687,27.09000015
2688,27.07999992
2689,27.05999947
2690,27.03999901
2691,27.03000069
2692,27.02000046
2693,27
2694,27
2695,26.98999977
2696,26.98999977
2697,26.98999977
2698,26.97999954
2699,26.96999931
2700,26.95999908
2701,26.95000076
2702,26.95000076
2703,26.95999908
2704,26.97999954
2705,26.98999977
2706,27.02000046
2707,27.04999924
2708,27.06999969
2709,27.10000038
2710,27.11000061
2711,27.12000084
2712,27.12999916
2713,27.13999939
2714,27.15999985
2715,27.17000008
2716,27.17000008
2717,27.18000031
2718,27.19000053
2719,27.19000053
2720,27.20000076
2721,27.20999908
2722,27.20999908
2723,27.20999908
2724,27.20999908
2725,27.35000038
2726,27.28999901
2727,27.27000046
2728,27.25
2729,27.21999931
2730,27.21999931
2731,27.20999908
2732,27.20999908
2733,27.20999908
2734,27.20000076
2735,27.20000076
2736,27.21999931
2737,27.23999977
2738,27.21999931
