nweek,T,days
2.070000000000000000e+02,1.409999999999999964e+01,1.450000000000000000e+03
2.080000000000000000e+02,1.330000000000000071e+01,1.457000000000000000e+03
2.090000000000000000e+02,1.340000000000000036e+01,1.464000000000000000e+03
2.100000000000000000e+02,1.340000000000000036e+01,1.471000000000000000e+03
2.120000000000000000e+02,1.365000000000000036e+01,1.485000000000000000e+03
2.140000000000000000e+02,1.244999999999999929e+01,1.499000000000000000e+03
2.160000000000000000e+02,1.319999999999999929e+01,1.513000000000000000e+03
2.170000000000000000e+02,1.250000000000000000e+01,1.520000000000000000e+03
2.190000000000000000e+02,1.240000000000000036e+01,1.534000000000000000e+03
2.200000000000000000e+02,1.259999999999999964e+01,1.541000000000000000e+03
2.210000000000000000e+02,1.300000000000000000e+01,1.548000000000000000e+03
2.230000000000000000e+02,1.330000000000000071e+01,1.562000000000000000e+03
2.230000000000000000e+02,1.350000000000000000e+01,1.562000000000000000e+03
2.250000000000000000e+02,1.465000000000000036e+01,1.576000000000000000e+03
2.270000000000000000e+02,1.390000000000000036e+01,1.590000000000000000e+03
2.280000000000000000e+02,1.669999999999999929e+01,1.597000000000000000e+03
2.290000000000000000e+02,1.400000000000000000e+01,1.604000000000000000e+03
2.300000000000000000e+02,1.409999999999999964e+01,1.611000000000000000e+03
2.340000000000000000e+02,1.390000000000000036e+01,1.639000000000000000e+03
2.360000000000000000e+02,1.480000000000000071e+01,1.653000000000000000e+03
2.370000000000000000e+02,1.484999999999999964e+01,1.660000000000000000e+03
2.390000000000000000e+02,1.469999999999999929e+01,1.674000000000000000e+03
2.400000000000000000e+02,1.519999999999999929e+01,1.681000000000000000e+03
2.410000000000000000e+02,1.540000000000000036e+01,1.688000000000000000e+03
2.440000000000000000e+02,1.590000000000000036e+01,1.709000000000000000e+03
2.460000000000000000e+02,1.540000000000000036e+01,1.723000000000000000e+03
2.470000000000000000e+02,1.540000000000000036e+01,1.730000000000000000e+03
2.490000000000000000e+02,1.490000000000000036e+01,1.744000000000000000e+03
2.500000000000000000e+02,1.400000000000000000e+01,1.751000000000000000e+03
2.520000000000000000e+02,1.440000000000000036e+01,1.765000000000000000e+03
2.530000000000000000e+02,1.369999999999999929e+01,1.772000000000000000e+03
2.550000000000000000e+02,1.350000000000000000e+01,1.786000000000000000e+03
2.570000000000000000e+02,1.280000000000000071e+01,1.800000000000000000e+03
2.580000000000000000e+02,1.209999999999999964e+01,1.807000000000000000e+03
2.610000000000000000e+02,1.069999999999999929e+01,1.828000000000000000e+03
2.630000000000000000e+02,1.009999999999999964e+01,1.842000000000000000e+03
2.640000000000000000e+02,1.034999999999999964e+01,1.849000000000000000e+03
2.650000000000000000e+02,8.800000000000000711e+00,1.856000000000000000e+03
2.670000000000000000e+02,9.599999999999999645e+00,1.870000000000000000e+03
2.700000000000000000e+02,8.199999999999999289e+00,1.891000000000000000e+03
2.710000000000000000e+02,8.199999999999999289e+00,1.898000000000000000e+03
2.720000000000000000e+02,8.900000000000000355e+00,1.905000000000000000e+03
2.730000000000000000e+02,8.099999999999999645e+00,1.912000000000000000e+03
2.740000000000000000e+02,9.000000000000000000e+00,1.919000000000000000e+03
2.750000000000000000e+02,8.800000000000000711e+00,1.926000000000000000e+03
2.760000000000000000e+02,9.000000000000000000e+00,1.933000000000000000e+03
2.770000000000000000e+02,9.199999999999999289e+00,1.940000000000000000e+03
2.780000000000000000e+02,9.400000000000000355e+00,1.947000000000000000e+03
2.800000000000000000e+02,9.900000000000000355e+00,1.961000000000000000e+03
2.820000000000000000e+02,1.059999999999999964e+01,1.975000000000000000e+03
2.830000000000000000e+02,1.130000000000000071e+01,1.982000000000000000e+03
2.840000000000000000e+02,1.169999999999999929e+01,1.989000000000000000e+03
2.850000000000000000e+02,1.209999999999999964e+01,1.996000000000000000e+03
2.860000000000000000e+02,1.250000000000000000e+01,2.003000000000000000e+03
2.880000000000000000e+02,1.230000000000000071e+01,2.017000000000000000e+03
2.900000000000000000e+02,1.209999999999999964e+01,2.031000000000000000e+03
